stress_id,source,base_id,stress_type,descriptor_signature,before_local_exact,before_shared_exact,after_local_exact,after_shared_exact,before_cid,after_cid,before_delta_free,after_delta_free,fragility_flag,severity,status_label,note
dst_0,invariant_stress,inv_0,target_mismatch,,1,1,0,0,1.5593618942426743e-13,10.425780678175284,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_1,invariant_stress,inv_0,family_enlargement,,1,1,0,0,1.5593618942426743e-13,52.94151757851489,0,3,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_2,invariant_stress,inv_0,observation_noise,,1,1,0,0,1.5593618942426743e-13,0.2838433161455468,0,3,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_3,invariant_stress,inv_1,target_mismatch,,1,1,0,0,4.044931175230247e-14,6.023610002733238,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_4,invariant_stress,inv_1,family_enlargement,,1,1,0,0,4.044931175230247e-14,21.164059072217785,0,2,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_5,invariant_stress,inv_1,observation_noise,,1,1,0,0,4.044931175230247e-14,0.1769898704993228,0,2,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_6,invariant_stress,inv_2,target_mismatch,,1,1,0,0,2.0326482703839956e-14,6.9788878628968725,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_7,invariant_stress,inv_2,family_enlargement,,1,1,0,0,2.0326482703839956e-14,17.369580608850118,0,2,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_8,invariant_stress,inv_2,observation_noise,,1,1,0,0,2.0326482703839956e-14,0.03968770104024968,0,2,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_9,invariant_stress,inv_3,target_mismatch,,1,1,0,0,2.715511106784476e-14,4.958051013434457,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_10,invariant_stress,inv_3,family_enlargement,,1,1,0,0,2.715511106784476e-14,25.81765344826653,0,3,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_11,invariant_stress,inv_3,observation_noise,,1,1,0,0,2.715511106784476e-14,0.053285838579440636,0,3,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_12,invariant_stress,inv_4,target_mismatch,,1,1,0,0,8.196905236120315e-14,1.1212964068272047,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_13,invariant_stress,inv_4,family_enlargement,,1,1,0,0,8.196905236120315e-14,24.159578447988235,0,3,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_14,invariant_stress,inv_4,observation_noise,,1,1,0,0,8.196905236120315e-14,0.33219952091734767,0,3,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_15,invariant_stress,inv_5,target_mismatch,,1,1,0,0,6.748777200247693e-14,7.0314483265511365,0,1,1,high,VALIDATED / NUMERICAL ONLY,model-mismatch stress
dst_16,invariant_stress,inv_5,family_enlargement,,1,1,0,0,6.748777200247693e-14,56.9363138796684,0,3,1,high,VALIDATED / NUMERICAL ONLY,enlargement stress
dst_17,invariant_stress,inv_5,observation_noise,,1,1,0,0,6.748777200247693e-14,0.554812291032957,0,3,1,high,VALIDATED / NUMERICAL ONLY,noise stress
dst_18,model_mismatch_stress,beta=0.5,model_mismatch,dim2|dist0.3162277660168381,1,1,,,,,,,1,medium,VALIDATED / NUMERICAL ONLY,off-family decoder error under subspace mismatch
dst_19,model_mismatch_stress,beta=1.0,model_mismatch,dim2|dist0.0,1,1,,,,,,,0,medium,VALIDATED / NUMERICAL ONLY,off-family decoder error under subspace mismatch
dst_20,model_mismatch_stress,beta=2.0,model_mismatch,dim2|dist0.3162277660168378,1,1,,,,,,,1,medium,VALIDATED / NUMERICAL ONLY,off-family decoder error under subspace mismatch
dst_21,family_enlargement_false_positive,family_enlargement_case,family_enlargement,small2|large3,,1,,0,,,,,1,high,PROVED ON SUPPORTED FAMILY,narrow-family exactness fails on enlarged family
dst_22,multicontext_enlargement_flip,ctxfam_16,family_enlargement,n5|k4|m2|r2|b8,1,1,0,0,0.0,,0,,1,high,VALIDATED / NUMERICAL ONLY,context-family enlargement changed shared verdict
dst_23,multicontext_enlargement_flip,ctxfam_23,family_enlargement,n5|k5|m2|r2|b10,1,1,0,0,0.0,,0,,1,high,VALIDATED / NUMERICAL ONLY,context-family enlargement changed shared verdict
dst_24,multicontext_enlargement_flip,ctxfam_25,family_enlargement,n4|k5|m2|r2|b10,1,1,0,0,0.0,,0,,1,high,VALIDATED / NUMERICAL ONLY,context-family enlargement changed shared verdict
