ambient_dimension,protected_rank,observation_rank,exact_rank_observation,fail_rank_observation,exact_recoverable,fail_recoverable,exact_rowspace_residual,fail_rowspace_residual,exact_collision_gap,fail_collision_gap
3,1,1,1,1,True,False,0.0,1.0,0.0,2.0
3,1,2,2,2,True,False,0.0,1.0,0.0,2.0
3,2,2,2,2,True,False,0.0,1.0,0.0,2.0
4,1,1,1,1,True,False,0.0,1.0,0.0,2.0
4,1,2,2,2,True,False,0.0,1.0,0.0,2.0
4,1,3,3,3,True,False,0.0,1.0,0.0,2.0
4,2,2,2,2,True,False,0.0,1.0,0.0,2.0
4,2,3,3,3,True,False,0.0,1.0,0.0,2.0
4,3,3,3,3,True,False,0.0,1.0,0.0,2.0
5,1,1,1,1,True,False,0.0,1.0,0.0,2.0
5,1,2,2,2,True,False,0.0,1.0,0.0,2.0
5,1,3,3,3,True,False,0.0,1.0,0.0,2.0
5,1,4,4,4,True,False,0.0,1.0,0.0,2.0
5,2,2,2,2,True,False,0.0,1.0,0.0,2.0
5,2,3,3,3,True,False,0.0,1.0,0.0,2.0
5,2,4,4,4,True,False,0.0,1.0,0.0,2.0
5,3,3,3,3,True,False,0.0,1.0,0.0,2.0
5,3,4,4,4,True,False,0.0,1.0,0.0,2.0
5,4,4,4,4,True,False,0.0,1.0,0.0,2.0
6,1,1,1,1,True,False,0.0,1.0,0.0,2.0
6,1,2,2,2,True,False,0.0,1.0,0.0,2.0
6,1,3,3,3,True,False,0.0,1.0,0.0,2.0
6,1,4,4,4,True,False,0.0,1.0,0.0,2.0
6,1,5,5,5,True,False,0.0,1.0,0.0,2.0
6,2,2,2,2,True,False,0.0,1.0,0.0,2.0
6,2,3,3,3,True,False,0.0,1.0,0.0,2.0
6,2,4,4,4,True,False,0.0,1.0,0.0,2.0
6,2,5,5,5,True,False,0.0,1.0,0.0,2.0
6,3,3,3,3,True,False,0.0,1.0,0.0,2.0
6,3,4,4,4,True,False,0.0,1.0,0.0,2.0
6,3,5,5,5,True,False,0.0,1.0,0.0,2.0
6,4,4,4,4,True,False,0.0,1.0,0.0,2.0
6,4,5,5,5,True,False,0.0,1.0,0.0,2.0
6,5,5,5,5,True,False,0.0,1.0,0.0,2.0
